측정일자,미세먼지(㎍/㎥),서울대공원입장객수
20190101,38.04761904761905,"1,524"
20190102,34.80952380952381,634
20190103,39.42857142857143,777
20190104,57.0,690
20190105,63.142857142857146,"1,601"
20190106,50.38095238095238,"2,057"
20190107,54.76190476190476,773
20190108,42.57142857142857,804
20190109,50.57142857142857,529
20190110,55.904761904761905,839
20190111,76.19047619047619,814
20190112,91.23809523809524,"1,855"
20190113,105.9047619047619,"1,680"
20190114,157.61904761904762,433
20190115,134.1904761904762,493
20190116,47.42857142857143,674
20190117,44.476190476190474,"1,220"
20190118,56.95238095238095,810
20190119,90.19047619047619,"1,738"
20190120,65.95238095238095,"2,064"
20190121,42.80952380952381,731
20190122,65.38095238095238,988
20190123,75.52380952380952,756
20190124,43.714285714285715,"1,010"
20190125,49.523809523809526,882
20190126,42.23809523809524,"2,023"
20190127,38.04761904761905,"2,391"
20190128,83.85714285714286,703
20190129,70.61904761904762,938
20190130,62.714285714285715,716
20190131,74.14285714285714,"1,624"
20190201,40.42857142857143,626
20190202,58.19047619047619,"1,630"
20190203,34.666666666666664,405
20190204,72.85714285714286,"2,550"
20190205,86.33333333333333,"3,855"
20190206,95.33333333333333,"4,046"
20190207,62.0,996
20190208,31.428571428571427,771
20190209,33.476190476190474,"1,771"
20190210,39.714285714285715,"1,652"
20190211,37.04761904761905,732
20190212,59.23809523809524,"1,041"
20190213,39.42857142857143,917
20190214,52.095238095238095,"1,290"
20190215,38.857142857142854,587
20190216,59.80952380952381,"1,889"
20190217,36.80952380952381,"2,834"
20190218,44.04761904761905,"1,084"
20190219,41.857142857142854,514
20190220,57.42857142857143,832
20190221,78.28571428571429,998
20190222,73.52380952380952,"1,005"
20190223,56.61904761904762,"4,086"
20190224,60.285714285714285,"7,466"
20190225,82.42857142857143,"1,428"
20190226,54.42857142857143,"2,285"
20190227,71.04761904761905,"2,595"
20190228,89.38095238095238,"2,135"
20190301,117.85714285714286,"6,264"
20190302,120.76190476190476,"5,491"
20190303,100.28571428571429,"4,393"
20190304,165.95238095238096,822
20190305,185.8095238095238,649
20190306,145.66666666666666,513
20190307,60.476190476190474,"1,196"
20190308,52.80952380952381,"1,622"
20190314,44.333333333333336,"1,351"
20190315,70.0,963
20190318,41.61904761904762,"1,945"
20190319,64.61904761904762,"2,077"
20190320,91.19047619047619,759
20190321,33.42857142857143,"1,144"
20190322,40.38095238095238,"1,477"
20190323,26.904761904761905,"3,562"
20190324,29.571428571428573,"12,787"
20190325,49.42857142857143,"1,538"
20190326,58.0,"1,744"
20190327,90.80952380952381,"1,117"
20190328,84.71428571428571,"1,665"
20190329,41.76190476190476,"2,870"
20190330,35.57142857142857,"2,452"
20190331,44.333333333333336,"4,418"
20190401,27.0,"1,876"
20190402,34.0,"2,081"
20190403,41.095238095238095,"3,957"
20190404,38.476190476190474,"3,060"
20190405,79.76190476190476,"4,100"
20190406,67.57142857142857,"11,272"
20190407,40.61904761904762,"31,924"
20190408,39.904761904761905,"5,501"
20190409,29.571428571428573,"3,029"
20190410,9.80952380952381,"2,124"
20190411,29.904761904761905,"8,577"
20190412,52.0,"9,296"
20190413,50.476190476190474,"39,200"
20190414,39.95238095238095,"5,017"
20190415,54.714285714285715,"6,556"
20190416,51.42857142857143,"6,982"
20190417,46.23809523809524,"6,040"
20190418,39.76190476190476,"4,791"
20190419,45.857142857142854,"6,494"
20190420,47.19047619047619,"29,419"
20190421,34.19047619047619,"19,874"
20190422,92.76190476190476,"4,445"
20190423,97.19047619047619,"3,905"
20190424,59.42857142857143,"3,475"
20190425,43.714285714285715,"6,869"
20190426,12.19047619047619,"3,550"
20190427,21.095238095238095,"23,777"
20190428,21.571428571428573,"17,964"
20190429,27.61904761904762,"3,283"
20190430,37.57142857142857,"6,833"
