"측정일자","도로변구분","측정소명","미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"20191209","일반도로","한강대로","50","0.003","0.05","1","0.004"
"20191209","입체","자연사박물관","49","0","0","0","0"
"20191209","일반도로","신촌로","54","0.002","0.053","1","0.004"
"20191209","경계","세곡","47","0.003","0.033","1.9","0.004"
"20191209","전용차로","강변북로","0","0","0","0","0"
"20191209","일반도로","도산대로","56","0.002","0.054","1.2","0.002"
"20191209","중앙차로","공항대로","0","0.002","0.057","0.9","0.005"
"20191209","중앙차로","강남대로","61","0.002","0.06","2","0.003"
"20191209","중앙차로","동작대로","67","0.003","0.069","1.3","0.005"
"20191209","일반도로","종로","62","0.002","0.054","1.1","0.003"
"20191209","일반도로","천호대로","64","0.002","0.047","0.9","0.003"
"20191209","일반도로","청계천로","47","0.002","0.05","1.1","0.005"
"20191209","일반도로","화랑로","59","0.005","0.038","0.8","0.004"
"20191209","입체","마포아트센터","51","0.005","0.053","0.6","0.004"
"20191209","고공","남산","44","0.002","0.059","1.1","0.004"
"20191209","고공","북한산","43","0.002","0.032","0.6","0.003"
"20191209","일반도로","홍릉로","0","0","0","0","0"
"20191209","전용차로","정릉로","54","0.002","0.06","1","0.004"
"20191209","입체","올림픽공원","43","0.002","0.037","1.1","0.003"
"20191209","고공","관악산","24","0.045","0.008","0.5","0.005"
"20191209","경계","궁동","47","0.004","0.026","0.4","0.004"
"20191209","경계","행주","48","0.002","0.042","1.4","0.004"
"20191209","일반도로","시흥대로","47","0.002","0.053","1.2","0.003"
"20191209","일반도로","영등포로","69","0.002","0.057","1.1","0.004"
"20191209","입체","서울숲","61","0.002","0.055","0.7","0.004"
"20191208","중앙차로","동작대로","61","0.004","0.056","1","0.005"
"20191208","입체","올림픽공원","42","0.005","0.033","1","0.003"
"20191208","중앙차로","강남대로","64","0.003","0.06","1.6","0.003"
"20191208","일반도로","종로","59","0.005","0.043","0.9","0.003"
"20191208","일반도로","청계천로","53","0.005","0.042","1","0.005"
"20191208","일반도로","신촌로","61","0.005","0.045","1","0.004"
"20191208","일반도로","한강대로","51","0.006","0.043","0.9","0.004"
"20191208","일반도로","화랑로","65","0.007","0.035","0.7","0.004"
"20191208","일반도로","도산대로","57","0.004","0.049","1.2","0.003"
"20191208","일반도로","천호대로","65","0.004","0.048","0.9","0.003"
"20191208","일반도로","시흥대로","51","0.004","0.049","1","0.004"
"20191208","입체","마포아트센터","53","0.008","0.037","0.5","0.003"
"20191208","전용차로","강변북로","0","0","0","0","0"
"20191208","일반도로","홍릉로","0","0","0","0","0"
"20191208","입체","서울숲","53","0.006","0.045","0.6","0.004"
"20191208","고공","북한산","45","0.017","0.016","0.6","0.003"
"20191208","고공","남산","45","0.01","0.044","1.1","0.004"
"20191208","중앙차로","공항대로","0","0.005","0.04","0.8","0.005"
"20191208","경계","궁동","48","0.006","0.022","0.4","0.004"
"20191208","고공","관악산","33","0.016","0.02","0.6","0.004"
"20191208","일반도로","영등포로","63","0.005","0.049","0.9","0.004"
"20191208","입체","자연사박물관","48","0","0","0","0"
"20191208","전용차로","정릉로","59","0.003","0.057","0.9","0.004"
"20191208","경계","행주","62","0.011","0.028","1.2","0.004"
"20191208","경계","세곡","51","0.005","0.03","1.7","0.005"
"20191207","일반도로","청계천로","45","0.002","0.045","1","0.005"
"20191207","일반도로","영등포로","53","0.002","0.053","1","0.004"
"20191207","고공","관악산","32","0.031","0.018","0.6","0.005"
"20191207","일반도로","시흥대로","45","0.002","0.05","1.1","0.005"
"20191207","전용차로","정릉로","51","0.002","0.066","0.9","0.004"
"20191207","고공","남산","43","0.003","0.056","1","0.004"
"20191207","고공","북한산","44","0.004","0.037","0.8","0.004"
"20191207","중앙차로","동작대로","49","0.003","0.059","0.8","0.006"
"20191207","경계","세곡","39","0.004","0.029","1.2","0.005"
"20191207","일반도로","신촌로","54","0.002","0.052","1","0.005"
"20191207","일반도로","도산대로","46","0.002","0.055","1.2","0.004"
"20191207","입체","자연사박물관","43","0","0","0","0"
"20191207","입체","서울숲","47","0.003","0.052","0.5","0.005"
"20191207","일반도로","화랑로","50","0.006","0.038","0.7","0.004"
"20191207","일반도로","종로","53","0.002","0.054","0.9","0.004"
"20191207","입체","마포아트센터","45","0.003","0.05","0.5","0.004"
"20191207","일반도로","한강대로","47","0.003","0.052","0.9","0.005"
"20191207","경계","궁동","47","0.004","0.027","0.4","0.004"
"20191207","일반도로","천호대로","54","0.002","0.052","0.9","0.003"
"20191207","입체","올림픽공원","42","0.003","0.04","1","0.003"
"20191207","경계","행주","51","0.003","0.041","1.2","0.005"
"20191207","중앙차로","강남대로","50","0.002","0.068","1.3","0.004"
"20191207","전용차로","강변북로","0","0","0","0","0"
"20191207","일반도로","홍릉로","0","0","0","0","0"
"20191207","중앙차로","공항대로","0","0.002","0.055","0.8","0.005"
"20191206","중앙차로","동작대로","33","0.009","0.043","0.5","0.006"
"20191206","고공","북한산","25","0.021","0.01","0.4","0.003"
"20191206","일반도로","도산대로","31","0.009","0.035","0.8","0.003"
"20191206","고공","남산","33","0.015","0.026","0.6","0.004"
"20191206","일반도로","한강대로","30","0.01","0.031","0.6","0.003"
"20191206","경계","세곡","31","0.007","0.022","1.1","0.004"
"20191206","중앙차로","강남대로","38","0.007","0.051","0.9","0.003"
"20191206","일반도로","홍릉로","0","0","0","0","0"
"20191206","경계","행주","36","0.019","0.013","0.8","0.004"
"20191206","경계","궁동","30","0.008","0.015","0.4","0.004"
"20191206","일반도로","영등포로","32","0.01","0.036","0.6","0.004"
"20191206","일반도로","천호대로","38","0.009","0.039","0.6","0.003"
