,stationName,dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm10Value24,pm25Value,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h
0,종로구,2019-12-07 04:00,0.003,0.9,0.002,0.048,37,33,29,25,80,2,1,1,1,2,2,2,2,2
1,종로구,2019-12-07 03:00,0.003,1.2,0.002,0.051,43,31,35,23,85,2,1,1,1,2,2,2,2,2
2,종로구,2019-12-07 02:00,0.003,0.8,0.002,0.049,31,29,24,22,81,2,1,1,1,2,1,2,2,2
3,종로구,2019-12-07 01:00,0.003,0.7,0.002,0.046,32,28,25,22,76,2,1,1,1,2,1,2,2,2
4,종로구,2019-12-06 24:00,0.003,0.7,0.002,0.043,28,27,22,21,71,2,1,1,1,2,1,2,1,2
5,종로구,2019-12-06 23:00,0.003,0.6,0.004,0.039,27,28,22,21,65,2,1,1,1,2,1,2,1,2
6,종로구,2019-12-06 22:00,0.003,0.6,0.005,0.036,28,28,21,21,64,2,1,1,1,2,1,2,1,2
7,종로구,2019-12-06 21:00,0.003,0.6,0.004,0.040,28,28,21,21,66,2,1,1,1,2,1,2,1,2
8,종로구,2019-12-06 20:00,0.004,0.6,0.008,0.032,27,28,21,20,61,2,1,1,1,2,1,2,1,2
9,종로구,2019-12-06 19:00,0.003,0.5,0.010,0.031,25,28,19,20,61,2,1,1,1,2,1,2,1,2
10,종로구,2019-12-06 18:00,0.004,0.5,0.010,0.029,26,29,20,21,64,2,1,1,1,1,1,2,1,2
11,종로구,2019-12-06 17:00,0.003,0.4,0.012,0.027,26,29,18,21,64,2,1,1,1,1,1,2,1,2
12,종로구,2019-12-06 16:00,0.004,0.5,0.012,0.027,29,29,22,21,64,2,1,1,1,1,1,2,1,2
13,종로구,2019-12-06 15:00,0.004,0.5,0.012,0.027,29,30,22,21,64,2,1,1,1,1,1,2,1,2
14,종로구,2019-12-06 14:00,0.003,0.5,0.014,0.022,26,31,20,21,64,2,1,1,1,1,2,2,1,2
15,종로구,2019-12-06 13:00,0.003,0.5,0.013,0.023,27,32,18,21,64,2,1,1,1,1,2,2,1,2
16,종로구,2019-12-06 12:00,0.003,0.6,0.008,0.032,36,32,26,21,64,2,1,1,1,2,2,2,2,2
17,종로구,2019-12-06 11:00,0.003,0.7,0.006,0.034,38,31,25,20,61,2,1,1,1,2,2,2,2,2
18,종로구,2019-12-06 10:00,0.003,0.7,0.005,0.032,31,29,20,19,59,2,1,1,1,2,1,2,2,2
19,종로구,2019-12-06 09:00,0.004,0.8,0.003,0.035,31,29,20,19,59,2,1,1,1,2,1,2,2,2
20,종로구,2019-12-06 08:00,0.003,0.7,0.002,0.034,29,28,20,18,56,2,1,1,1,2,1,2,1,2
21,종로구,2019-12-06 07:00,0.004,0.6,0.002,0.033,30,27,21,17,54,2,1,1,1,2,1,2,1,2
22,종로구,2019-12-06 06:00,0.003,0.6,0.004,0.028,29,26,18,16,51,2,1,1,1,1,1,2,1,2
23,종로구,2019-12-06 05:00,0.003,0.5,0.008,0.020,26,26,17,16,51,2,1,1,1,1,1,2,1,2
24,종로구,2019-12-06 04:00,0.003,0.4,0.011,0.015,26,26,16,15,50,1,1,1,1,1,1,1,1,2
25,종로구,2019-12-06 03:00,0.003,0.4,0.012,0.014,30,25,17,15,50,1,1,1,1,1,1,1,1,2
26,종로구,2019-12-06 02:00,0.003,0.4,0.014,0.012,27,24,16,15,50,1,1,1,1,1,1,1,1,2
27,종로구,2019-12-06 01:00,0.003,0.4,0.013,0.013,26,23,15,15,50,1,1,1,1,1,1,1,1,1
28,종로구,2019-12-05 24:00,0.003,0.4,0.013,0.013,26,23,17,15,50,1,1,1,1,1,1,1,1,2
29,종로구,2019-12-05 23:00,0.003,0.4,0.013,0.015,26,22,17,14,47,1,1,1,1,1,1,1,1,2
